en,fr,type,module
Product In Websites,Publier dans les sites web,module,Magento_Catalog
(Copy data from: %1),(Copier les données depuis : %1),module,Magento_Catalog
Alt Text,Texte alternatif,module,Magento_Catalog
Role,Rôle,module,Magento_Catalog
Hide from Product Page,Masquer dans la page du produit,module,Magento_Catalog
Close panel,Fermer le panneau,module,Magento_Catalog
Product Alerts,Alertes du produit,module,Magento_Catalog
Allow Multiple Boxes for Shipping.,Autoriser plusieurs colis pour l'expédition.,module,Magento_Catalog
start typing to search attribute,commencez à taper pour rechercher un attribut,module,Magento_Catalog
Basic Settings,Paramètres de base,module,Magento_Catalog
Advanced Settings,Paramètres avancés,module,Magento_Catalog
Changes have been made to this section that have not been saved.,Des modifications ont été apportées à cette section qui n'ont pas été enregistrées.,module,Magento_Catalog
This tab contains invalid data. Please resolve this before saving.,Cet onglet contient des données invalides. Merci de les corriger avant d'enregistrer.,module,Magento_Catalog
Actions,Actions,module,Magento_Catalog
Mass Actions,Action en masse,module,Magento_Catalog
Select All,Tout sélectionner,module,Magento_Catalog
Unselect All,Tout déselectionner,module,Magento_Catalog
Select Visible,Sélectionner les éléments visibles,module,Magento_Catalog
Unselect Visible,Désélectionner les éléments visibles,module,Magento_Catalog
Special Price,Prix promotionnel,module,Magento_Catalog
Regular Price,Prix normal,module,Magento_Catalog
Buy %1 for: ,Acheter %1 pour: ,module,Magento_Catalog
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Acheter %1 pour %2 pièce et <strong class=""benefit"">économisé<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>",module,Magento_Catalog
Buy %1 for %2 each,Achetez-en %1 à %2 pièce,module,Magento_Catalog
Shop By,Filtrer par,module,Magento_Catalog
Shopping Options,Achat par,module,Magento_Catalog
Compare Products,Comparer des produits,module,Magento_Catalog
Print This Page,Imprimer cette page,module,Magento_Catalog
Remove Product,Retirer le produit,module,Magento_Catalog
Add to Cart,Ajouter au panier,module,Magento_Catalog
In stock,En stock,module,Magento_Catalog
Out of stock,En rupture,module,Magento_Catalog
Add to Wish List,Ajouter à ma liste d'envie,module,Magento_Catalog
You have no items to compare.,Vous n'avez pas d'articles à comparer.,module,Magento_Catalog
Remove This Item,Supprimer cet élément,module,Magento_Catalog
Compare,Comparer,module,Magento_Catalog
Clear All,Tout supprimer,module,Magento_Catalog
Prev,Précédent,module,Magento_Catalog
Next,Suivant,module,Magento_Catalog
We can't find products matching the selection.,Nous ne pouvons pas trouver des produits correspondant à votre sélection.,module,Magento_Catalog
Add to Compare,Ajouter au comparateur,module,Magento_Catalog
Learn More,En savoir plus,module,Magento_Catalog
We found other products you might like!,Nous avons trouvé d'autres produits qui pourraient vous intéresser!,module,Magento_Catalog
More Choices:,Plus de choix:,module,Magento_Catalog
Check items to add to the cart or,Cochez les articles à ajouter au panier ou,module,Magento_Catalog
select all,sélectionner tout,module,Magento_Catalog
Items %1-%2 of %3,Produits %1-%2 pour %3,module,Magento_Catalog
%1 Item,%1 Produit,module,Magento_Catalog
%1 Items,%1 Produits,module,Magento_Catalog
Show,Afficher,module,Magento_Catalog
per page,par page,module,Magento_Catalog
Sort By,Trier par,module,Magento_Catalog
Set Ascending Direction,Par ordre croissant,module,Magento_Catalog
Set Descending Direction,Par ordre décroissant,module,Magento_Catalog
View as,Afficher en,module,Magento_Catalog
More Information,Plus d'information,module,Magento_Catalog
Loading...,En cours de chargement...,module,Magento_Catalog
* Required Fields,* Champs requis,module,Magento_Catalog
Availability,Disponibilité,module,Magento_Catalog
Terms and Conditions,Conditions générales de ventes,module,Magento_CheckoutAgreements
Add New Condition,Créer des CGV,module,Magento_CheckoutAgreements
Save Condition,Sauvegarder la condition,module,Magento_CheckoutAgreements
Delete Condition,Supprimer la condition,module,Magento_CheckoutAgreements
Edit Terms and Conditions,Éditer les conditions générales de ventes,module,Magento_CheckoutAgreements
New Terms and Conditions,Nouvelles CGV,module,Magento_CheckoutAgreements
Terms and Conditions Information,Informations de conditions générales de ventes,module,Magento_CheckoutAgreements
Condition Name,Nom de la condition,module,Magento_CheckoutAgreements
Status,Statut,module,Magento_CheckoutAgreements
Enabled,Activé,module,Magento_CheckoutAgreements
Disabled,Désactivé,module,Magento_CheckoutAgreements
Show Content as,Afficher le contenu comme,module,Magento_CheckoutAgreements
Text,Texte,module,Magento_CheckoutAgreements
HTML,HTML,module,Magento_CheckoutAgreements
Applied,Appliqué,module,Magento_CheckoutAgreements
Store View,Vue magasin,module,Magento_CheckoutAgreements
Checkbox Text,Texte de la case à cocher,module,Magento_CheckoutAgreements
Content,Contenu,module,Magento_CheckoutAgreements
Content Height (css),Hauteur du contenu (CSS),module,Magento_CheckoutAgreements
Content Height,Hauteur du contenu,module,Magento_CheckoutAgreements
ID,ID,module,Magento_CheckoutAgreements
Condition,Condition,module,Magento_CheckoutAgreements
Sales,Ventes,module,Magento_CheckoutAgreements
Checkout Conditions,Conditions de commande,module,Magento_CheckoutAgreements
Checkout Terms and Conditions,Conditions générales de ventes,module,Magento_CheckoutAgreements
This condition no longer exists.,Cette condition n'existe plus.,module,Magento_CheckoutAgreements
You deleted the condition.,Vous avez supprimé la condition.,module,Magento_CheckoutAgreements
Something went wrong  while deleting this condition.,Une erreur s'est produite durant la suppression de cette condition.,module,Magento_CheckoutAgreements
Edit Condition,Éditer la condition,module,Magento_CheckoutAgreements
New Condition,Nouvelle condition,module,Magento_CheckoutAgreements
You saved the condition.,La condition a été sauvegardée.,module,Magento_CheckoutAgreements
Something went wrong while saving this condition.,Une erreur s'est produite durant l'enregistrement de cette condition.,module,Magento_CheckoutAgreements
Automatically,Automatiquement,module,Magento_CheckoutAgreements
Manually,Manuellement,module,Magento_CheckoutAgreements
Please agree to all the terms and conditions before placing the order.,Veuillez accepter les conditions générales de ventes avant de valider la commande.,module,Magento_CheckoutAgreements
Unable to save checkout agreement %1,Impossible de sauvegarder la condition de vente %1,module,Magento_CheckoutAgreements
Unable to remove checkout agreement %1,Impossible de supprimer la condition de vente %1,module,Magento_CheckoutAgreements
"Checkout agreement with specified ID ""%1"" not found.","La condition de vente liée à l'identifiant fourni ""%1"" n'a pas été trouvée.",module,Magento_CheckoutAgreements
Shopping Cart,Panier,module,Magento_Checkout
Invalid method: %1,Méthode invalide : %1,module,Magento_Checkout
City,Ville,module,Magento_Checkout
Country,Pays,module,Magento_Checkout
State/Province,État/Région,module,Magento_Checkout
Zip/Postal Code,Code postal,module,Magento_Checkout
My Cart (1 item),Mon panier (1 produit),module,Magento_Checkout
My Cart (%1 items),Mon panier (%1 produits),module,Magento_Checkout
My Cart,Mon panier,module,Magento_Checkout
Minimum order amount is %1,Le montant minimal de commande est %1,module,Magento_Checkout
Customer is already registered,Client déjà enregistré,module,Magento_Checkout
Your session has expired,Votre session a expiré,module,Magento_Checkout
You added %1 to your shopping cart.,Vous avez ajouté %1 à votre panier.,module,Magento_Checkout
We can't add this item to your shopping cart right now.,Impossible d'ajouter ce produit au panier.,module,Magento_Checkout
Out of stock,En Rupture,module,Magento_Checkout
We can't find the quote item.,Nous ne pouvons pas trouver le commentaire du produit.,module,Magento_Checkout
We cannot configure the product.,Nous ne pouvons pas configurer le produit.,module,Magento_Checkout
"You used coupon code ""%1"".","Vous avez utilisé le code promo ""%1"".",module,Magento_Checkout
"The coupon code ""%1"" is not valid.","Le code promo ""%1"" n'est pas valide.",module,Magento_Checkout
You canceled the coupon code.,Vous avez annulé le code de promo.,module,Magento_Checkout
We cannot apply the coupon code.,Nous ne pouvons pas appliquer le code promo.,module,Magento_Checkout
We can't remove the item.,Nous ne pouvons pas supprimer l'élément.,module,Magento_Checkout
%1 was updated in your shopping cart.,%1 a été mis à jour dans votre panier.,module,Magento_Checkout
We can't update the item right now.,Nous ne pouvons pas mettre à jour le produit actuellement.,module,Magento_Checkout
We can't update the shopping cart.,Nous ne pouvons pas mettre à jour le panier.,module,Magento_Checkout
One-page checkout is turned off.,Une page du passage de dommande est désactivé.,module,Magento_Checkout
Guest checkout is disabled.,La passage de commande Invité est désactivé.,module,Magento_Checkout
Checkout,Commander,module,Magento_Checkout
Page not found.,Page introuvable.,module,Magento_Checkout
Please agree to all the terms and conditions before placing the order.,Veuillez accepter les conditions générales de ventes avant de valider la commande.,module,Magento_Checkout
Something went wrong while processing your order. Please try again later.,Quelque chose a mal tourné lors du traitement de votre commande. Veuillez réessayer plus tard.,module,Magento_Checkout
%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface,%1 ne s'accorede pas avec \Magento\Checkout\CustomerData\ItemInterface,module,Magento_Checkout
We can't find the product.,Impossible de trouver le produit.,module,Magento_Checkout
The product does not exist.,Le produit n'existe pas.,module,Magento_Checkout
We don't have some of the products you want.,Nous ne disposons pas de certains des produits que vous souhaitez.,module,Magento_Checkout
We don't have as many of some products as you want.,Nous ne disposons pas d'autant pour certains produits que vous le souhaitez.,module,Magento_Checkout
Quantity was recalculated from %1 to %2,La quantité a été recalculée de %1 à %2,module,Magento_Checkout
We adjusted product quantities to fit the required increments.,Nous avons ajusté les quantités de produits pour adapter les incréments nécessaires.,module,Magento_Checkout
This quote item does not exist.,Ce commentaire d'article n'existe pas.,module,Magento_Checkout
Display number of items in cart,Afficher le nombre de produits différents dans le panier,module,Magento_Checkout
Display item quantities,Afficher la quantité totale d'articles dans le panier,module,Magento_Checkout
Shipping address is not set,L'adresse de livraison n'est pas configuré,module,Magento_Checkout
"Unable to save address. Please, check input data.","Impossible d'enregistrer l'adresse. S'il vous plaît, vérifier les données que vous avez entrée.",module,Magento_Checkout
"Carrier with such method not found: %1, %2","Méthode transporteur introuvable avec une telle: %1, %2",module,Magento_Checkout
"Unable to save shipping information. Please, check input data.","Impossible d'enregistrer les informations de livraison. S'il vous plaît, vérifier les données que vous avez entrée.",module,Magento_Checkout
Cart contains virtual product(s) only. Shipping address is not applicable.,Le panier contient seulement du produit virtuel(s). L'adresse de livraison n'est pas applicable.,module,Magento_Checkout
Shipping method is not applicable for empty cart,La méthode d'expédition n'est pas applicable pour un panier vide,module,Magento_Checkout
 item, produit,module,Magento_Checkout
 items, produits,module,Magento_Checkout
Totals calculation is not applicable to empty cart,Calcul de totaux n'est pas applicable sur un vide panier,module,Magento_Checkout
Invalid data,Données invalides,module,Magento_Checkout
The customer address is not valid.,L'adresse du client n'est pas valide.,module,Magento_Checkout
Invalid shipping method,Méthode d'expédition invalide,module,Magento_Checkout
There are more than one shipping addresses.,Il y a plus d'une adresses de livraison.,module,Magento_Checkout
"Sorry, guest checkout is not available.","Désolé, le passage de commande d'invité n'est pas disponibles.",module,Magento_Checkout
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte ! Pour cela veuillez vérifier dans votre client webmail que vous avez reçu le lien de confirmation par email ou <a href=""%1""> cliquez ici </a> pour un nouveau lien.",module,Magento_Checkout
Load customer quote error,Erreur lors du chargement du panier client,module,Magento_Checkout
Error message!,Message d'erreur!,module,Magento_Checkout
Error!,Erreur!,module,Magento_Checkout
Wrong minimum amount.,Montant minimum incorrect.,module,Magento_Checkout
Message,Message,module,Magento_Checkout
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimer le reçu</a>",module,Magento_Checkout
Apply Discount Code,Appliquer Code de Réduction,module,Magento_Checkout
Enter discount code,Entrez le code de réduction,module,Magento_Checkout
Apply Discount,Appliquer la Remise,module,Magento_Checkout
Cancel Coupon,Annuler le bon de réduction,module,Magento_Checkout
Shopping Cart Items,Panier de produits,module,Magento_Checkout
Item,Produit,module,Magento_Checkout
Price,Prix,module,Magento_Checkout
Qty,Qté,module,Magento_Checkout
Subtotal,Sous-total,module,Magento_Checkout
Continue Shopping,Continuer vos achats,module,Magento_Checkout
Clear Shopping Cart,Vider le panier,module,Magento_Checkout
Update Shopping Cart,Mettre à jour vos achats dans le panier,module,Magento_Checkout
Update Cart,Mettre à jour le panier,module,Magento_Checkout
See price before order confirmation.,Voir le prix avant la confirmation de la commande.,module,Magento_Checkout
What's this?,Qu'est-ce que c'est ?,module,Magento_Checkout
Edit item parameters,Éditer les paramètres du produit,module,Magento_Checkout
Edit,Éditer,module,Magento_Checkout
Remove item,Supprimer le produit,module,Magento_Checkout
You have no items in your shopping cart.,Votre panier d'achat ne contient plus aucun produit.,module,Magento_Checkout
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats.",module,Magento_Checkout
Estimate Tax,Estimation Taxe,module,Magento_Checkout
Estimate Shipping and Tax,Estimer la livraison et sa TVA,module,Magento_Checkout
Excl. Tax,HT,module,Magento_Checkout
Loading...,En cours de chargement...,module,Magento_Checkout
Order #,Commande N°,module,Magento_Checkout
Proceed to Checkout,Commander,module,Magento_Checkout
Product Name,Nom du produit,module,Magento_Checkout
Incl. Tax,TTC,module,Magento_Checkout
Your order number is: %1.,Votre numéro de commande est: %1.,module,Magento_Checkout
Your order # is: <span>%1</span>.,Votre commande N° est: <span>%1 </ span>.,module,Magento_Checkout
We'll email you an order confirmation with details and tracking info.,Nous vous enverrons par email une confirmation de commande avec des détails et des informations de suivi colis.,module,Magento_Checkout
Static Blocks,Blocs statiques,module,Magento_Cms
Add New Block,Ajouter un nouveau bloc,module,Magento_Cms
Save Block,Enregistrer le bloc,module,Magento_Cms
Delete Block,Supprimer le bloc,module,Magento_Cms
Save and Continue Edit,Sauvegarder et continuer à éditer,module,Magento_Cms
Edit Block '%1',Éditer le bloc '%1',module,Magento_Cms
New Block,Nouveau bloc,module,Magento_Cms
Block Information,Information,module,Magento_Cms
General Information,Informations générales,module,Magento_Cms
Block Title,Titre du bloc,module,Magento_Cms
Identifier,Identifiant,module,Magento_Cms
Store View,Vue magasin,module,Magento_Cms
Status,Statut,module,Magento_Cms
Enabled,Activé,module,Magento_Cms
Disabled,Désactivé,module,Magento_Cms
Content,Contenu,module,Magento_Cms
ID,ID,module,Magento_Cms
Title,Titre,module,Magento_Cms
Manage Pages,Gestion des pages,module,Magento_Cms
Add New Page,Ajouter une nouvelle page,module,Magento_Cms
Save Page,Enregistrer la page,module,Magento_Cms
Delete Page,Supprimer la page,module,Magento_Cms
Edit Page '%1',Éditer la page '%1',module,Magento_Cms
New Page,Nouvelle page,module,Magento_Cms
Content Heading,Titre du contenu,module,Magento_Cms
Page Layout,Agencement de page,module,Magento_Cms
Layout,Agencement,module,Magento_Cms
Layout Update XML,XML de mise à jour d'agencement,module,Magento_Cms
Custom Design,Design personnalisé,module,Magento_Cms
Custom Design From,Design personnalisé à partir du,module,Magento_Cms
Custom Design To,Design personnalisé jusqu'au,module,Magento_Cms
-- Please Select --,-- Veuillez choisir --,module,Magento_Cms
Custom Theme,Thème personnalisé,module,Magento_Cms
Custom Layout,Agencement personnalisé,module,Magento_Cms
Custom Layout Update XML,XML de mise à jour de l'agencement personnalisé,module,Magento_Cms
Design,Design,module,Magento_Cms
Page Information,Informations de la page,module,Magento_Cms
Page Title,Titre de page,module,Magento_Cms
URL Key,Clé d'URL,module,Magento_Cms
Relative to Web Site Base URL,Relative à l'URL du site Web de base,module,Magento_Cms
Page Status,Statut de la page,module,Magento_Cms
Meta Data,Données meta,module,Magento_Cms
Keywords,Mots clés,module,Magento_Cms
Meta Keywords,Mots-clés meta,module,Magento_Cms
Description,Description,module,Magento_Cms
Meta Description,Méta description,module,Magento_Cms
Created,Créé,module,Magento_Cms
Modified,Modifié,module,Magento_Cms
Action,Action,module,Magento_Cms
Preview,Prévisualiser,module,Magento_Cms
Media Storage,Stockage des medias,module,Magento_Cms
Create Folder...,Créer un dossier...,module,Magento_Cms
Delete Folder,Supprimer le dossier,module,Magento_Cms
Delete File,Supprimer le fichier,module,Magento_Cms
Insert File,Insérer le fichier,module,Magento_Cms
New Folder Name:,Nouveau nom de dossier :,module,Magento_Cms
Are you sure you want to delete this folder?,Êtes-vous sûr de vouloir supprimer ce dossier?,module,Magento_Cms
Are you sure you want to delete this file?,Êtes-vous sûr de vouloir supprimer ce fichier?,module,Magento_Cms
Images (%1),Images (%1),module,Magento_Cms
Storage Root,Racine du stockage,module,Magento_Cms
Home,Accueil,module,Magento_Cms
Go to Home Page,Aller à la page d'accueil,module,Magento_Cms
CMS,CMS,module,Magento_Cms
You deleted the block.,Vous avez supprimé le bloc.,module,Magento_Cms
We can't find a block to delete.,Nous ne pouvons pas trouver le bloc à supprimer.,module,Magento_Cms
This block no longer exists.,Ce bloc n'existe plus.,module,Magento_Cms
Edit Block,Éditer le bloc,module,Magento_Cms
Blocks,Blocs,module,Magento_Cms
Please correct the data sent.,S'il vous plaît corriger les données envoyées.,module,Magento_Cms
A total of %1 record(s) have been deleted.,Un total de 1% enregistrement(s) supprimé(s).,module,Magento_Cms
You saved the block.,Vous avez enregistré le bloc.,module,Magento_Cms
The page has been deleted.,La page a bien été supprimée.,module,Magento_Cms
We can't find a page to delete.,Nous ne pouvons pas trouver la page à supprimer.,module,Magento_Cms
This page no longer exists.,Cette page n'existe plus.,module,Magento_Cms
Edit Page,Éditer la page,module,Magento_Cms
Pages,Pages,module,Magento_Cms
Something went wrong while saving the page.,Quelque chose a mal tourné lors de l'enregistrement de la page.,module,Magento_Cms
A total of %1 record(s) have been disabled.,Un total de %1 enregistrement(s) désactivé(s).,module,Magento_Cms
A total of %1 record(s) have been enabled.,Un total de %1 enregistrement(s) activé(s).,module,Magento_Cms
"To apply changes you should fill in hidden required ""%1"" field","Pour appliquer les modifications vous devez remplir le champ caché obligatoire  ""%1""",module,Magento_Cms
You saved this page.,Vous avez enregistré cette page.,module,Magento_Cms
The directory %1 is not writable by server.,Le répertoire %1 n'a pas les droits d'écriture sur le serveur web.,module,Magento_Cms
Make sure that static block content does not reference the block itself.,Assurez-vous que le contenu de bloc statique ne référence pas le bloc lui-même.,module,Magento_Cms
"CMS Block with id ""%1"" does not exist.","Le bloc CMS avec id ""%1"" n'existe pas.",module,Magento_Cms
Enabled by Default,Activé par défaut,module,Magento_Cms
Disabled by Default,Désactivé par défaut,module,Magento_Cms
Disabled Completely,Désactivé complètement,module,Magento_Cms
"CMS Page with id ""%1"" does not exist.","La page CMS avec id ""%1"" n'existe pas.",module,Magento_Cms
A block identifier with the same properties already exists in the selected store.,Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans le magasin sélectionnée.,module,Magento_Cms
The page URL key contains capital letters or disallowed symbols.,La clé URL de page contient des lettres majuscules ou des symboles non autorisés.,module,Magento_Cms
The page URL key cannot be made of only numbers.,La clé URL de la page ne peut pas être faite uniquement de chiffres.,module,Magento_Cms
"Please rename the folder using only letters, numbers, underscores and dashes.","S'il vous plaît renommer le dossier à l'aide des lettres, des chiffres, des caractères de soulignement et des tirets.",module,Magento_Cms
We found a directory with the same name. Please try another folder name.,Nous avons trouvé un répertoire avec le même nom. S'il vous plaît essayer un autre nom de dossier.,module,Magento_Cms
We cannot create a new directory.,Nous ne pouvons pas créer un nouveau répertoire.,module,Magento_Cms
We cannot delete directory %1.,Nous ne pouvons pas supprimer le répertoire %1.,module,Magento_Cms
We can't upload the file right now.,Nous ne pouvons pas télécharger le fichier actuellement.,module,Magento_Cms
We can't delete root directory %1 right now.,Nous ne pouvons pas supprimer le répertoire racine %1 actuellement.,module,Magento_Cms
Directory %1 is not under storage root path.,Répertoire %1 n'est pas un chemin d'accès à la racine de stockage.,module,Magento_Cms
LocalizedException,LocalizedException,module,Magento_Cms
RuntimeException,RuntimeException,module,Magento_Cms
Exception,Exception,module,Magento_Cms
Could not create directory.,Impossible de créer le répertoire.,module,Magento_Cms
All Store Views,Toutes les vues magasin,module,Magento_Cms
Edit,Éditer,module,Magento_Cms
Delete,Supprimer,module,Magento_Cms
Delete ${ $.$data.title },Supprimer ${ $.$data.title },module,Magento_Cms
Are you sure you wan't to delete a ${ $.$data.title } record?,Êtes-vous sûr de vouloir supprimer ${ $.$data.title } en enregistrement?,module,Magento_Cms
Details,Détails,module,Magento_Cms
"Delete ""${ $.$data.title }""","Supprimer ""${ $.$data.title }""",module,Magento_Cms
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Êtes-vous sûr de vouloir supprimer ""${ $.$data.title }"" en enregistrement?",module,Magento_Cms
px.,px.,module,Magento_Cms
No files found,Aucun fichier trouvé,module,Magento_Cms
Browse Files...,Parcourir les fichiers...,module,Magento_Cms
Collapse All,Tout réduire,module,Magento_Cms
Expand All,Tout développer,module,Magento_Cms
Default Config,Default Config,module,Magento_Config
Save Config,Save Config,module,Magento_Config
[GLOBAL],[GLOBAL],module,Magento_Config
[WEBSITE],[WEBSITE],module,Magento_Config
[STORE VIEW],[STORE VIEW],module,Magento_Config
Use Default,Use Default,module,Magento_Config
Use Website,Use Website,module,Magento_Config
Add,Add,module,Magento_Config
Delete File,Delete File,module,Magento_Config
Search String,Search String,module,Magento_Config
Design Theme,Design Theme,module,Magento_Config
Add \Exception,Add \Exception,module,Magento_Config
-- No Theme --,-- No Theme --,module,Magento_Config
Enable,Enable,module,Magento_Config
Disable,Disable,module,Magento_Config
Configuration,Configuration,module,Magento_Config
System,System,module,Magento_Config
You saved the configuration.,You saved the configuration.,module,Magento_Config
Something went wrong while saving this configuration:,Something went wrong while saving this configuration:,module,Magento_Config
Page not found.,Page not found.,module,Magento_Config
Please specify the admin custom URL.,Please specify the admin custom URL.,module,Magento_Config
Invalid %1. %2,Invalid %1. %2,module,Magento_Config
Value must be a URL or one of placeholders: %1,Value must be a URL or one of placeholders: %1,module,Magento_Config
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".",module,Magento_Config
%1 An empty value is allowed as well.,%1 An empty value is allowed as well.,module,Magento_Config
Specify a fully qualified URL.,Specify a fully qualified URL.,module,Magento_Config
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies.",module,Magento_Config
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies.",module,Magento_Config
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected.",module,Magento_Config
We can't save the Cron expression.,We can't save the Cron expression.,module,Magento_Config
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected.",module,Magento_Config
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies.",module,Magento_Config
"Please correct the email address: ""%1"".","Please correct the email address: ""%1"".",module,Magento_Config
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces.",module,Magento_Config
Maximum sender name length is 255. Please correct your settings.,Maximum sender name length is 255. Please correct your settings.,module,Magento_Config
The file you're uploading exceeds the server size limit of %1 kilobytes.,The file you're uploading exceeds the server size limit of %1 kilobytes.,module,Magento_Config
The base directory to upload file is not specified.,The base directory to upload file is not specified.,module,Magento_Config
The specified image adapter cannot be used because of: ' .,The specified image adapter cannot be used because of: ' .,module,Magento_Config
Default scope,Default scope,module,Magento_Config
Base currency,Base currency,module,Magento_Config
Display default currency,Display default currency,module,Magento_Config
website(%1) scope,website(%1) scope,module,Magento_Config
store(%1) scope,store(%1) scope,module,Magento_Config
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3.",module,Magento_Config
Please correct the timezone.,Please correct the timezone.,module,Magento_Config
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist",module,Magento_Config
Always (during development),Always (during development),module,Magento_Config
Only Once (version upgrade),Only Once (version upgrade),module,Magento_Config
Never (production),Never (production),module,Magento_Config
Bcc,Bcc,module,Magento_Config
Separate Email,Separate Email,module,Magento_Config
%1 (Default),%1 (Default),module,Magento_Config
title,title,module,Magento_Config
No,No,module,Magento_Config
Optional,Optional,module,Magento_Config
Required,Required,module,Magento_Config
Website,Website,module,Magento_Config
Store,Store,module,Magento_Config
Store View,Store View,module,Magento_Config
HTTP (unsecure),HTTP (unsecure),module,Magento_Config
HTTPS (SSL),HTTPS (SSL),module,Magento_Config
Yes (302 Found),Yes (302 Found),module,Magento_Config
Yes (301 Moved Permanently),Yes (301 Moved Permanently),module,Magento_Config
Yes,Yes,module,Magento_Config
Specified,Specified,module,Magento_Config
Config form fieldset clone model required to be able to clone fields,Config form fieldset clone model required to be able to clone fields,module,Magento_Config
"Invalid XML in file %1:
%2","Invalid XML in file %1:
%2",module,Magento_Config
.,.,module,Magento_Config
some_label,some_label,module,Magento_Config
some_comment,some_comment,module,Magento_Config
some prefix,some prefix,module,Magento_Config
element label,element label,module,Magento_Config
element hint,element hint,module,Magento_Config
element comment,element comment,module,Magento_Config
element tooltip,element tooltip,module,Magento_Config
test,test,module,Magento_Config
test2,test2,module,Magento_Config
Add after,Add after,module,Magento_Config
Delete,Delete,module,Magento_Config
Current Configuration Scope:,Current Configuration Scope:,module,Magento_Config
Stores,Stores,module,Magento_Config
"Add configurable attributes to the current Attribute Set (""%1"")","Add configurable attributes to the current Attribute Set (""%1"")",module,Magento_ConfigurableProduct
Add configurable attributes to the new Attribute Set based on current,Add configurable attributes to the new Attribute Set based on current,module,Magento_ConfigurableProduct
New attribute set name,New attribute set name,module,Magento_ConfigurableProduct
Add configurable attributes to the existing Attribute Set,Add configurable attributes to the existing Attribute Set,module,Magento_ConfigurableProduct
Choose existing Attribute Set,Choose existing Attribute Set,module,Magento_ConfigurableProduct
Configurations,Configurations,module,Magento_ConfigurableProduct
Attribute Values,Attribute Values,module,Magento_ConfigurableProduct
Bulk Images &amp; Price,Bulk Images &amp; Price,module,Magento_ConfigurableProduct
Create New Attribute,Create New Attribute,module,Magento_ConfigurableProduct
Select Attributes,Select Attributes,module,Magento_ConfigurableProduct
Summary,Summary,module,Magento_ConfigurableProduct
Choose an Option...,Choose an Option...,module,Magento_ConfigurableProduct
This attribute is used in configurable products.,This attribute is used in configurable products.,module,Magento_ConfigurableProduct
Product has been already attached,Product has been already attached,module,Magento_ConfigurableProduct
Product with specified sku: %1 is not a configurable product,Product with specified sku: %1 is not a configurable product,module,Magento_ConfigurableProduct
Requested option doesn't exist,Requested option doesn't exist,module,Magento_ConfigurableProduct
Requested option doesn't exist: %1,Requested option doesn't exist: %1,module,Magento_ConfigurableProduct
Cannot delete variations from product: %1,Cannot delete variations from product: %1,module,Magento_ConfigurableProduct
Cannot delete option with id: %1,Cannot delete option with id: %1,module,Magento_ConfigurableProduct
"Option with id ""%1"" not found","Option with id ""%1"" not found",module,Magento_ConfigurableProduct
"Could not update option with id ""%1""","Could not update option with id ""%1""",module,Magento_ConfigurableProduct
Product already has this option,Product already has this option,module,Magento_ConfigurableProduct
Something went wrong while saving option.,Something went wrong while saving option.,module,Magento_ConfigurableProduct
Only implemented for configurable product: %1,Only implemented for configurable product: %1,module,Magento_ConfigurableProduct
Option attribute ID is not specified.,Option attribute ID is not specified.,module,Magento_ConfigurableProduct
Option label is not specified.,Option label is not specified.,module,Magento_ConfigurableProduct
Option values are not specified.,Option values are not specified.,module,Magento_ConfigurableProduct
Value index is not specified for an option.,Value index is not specified for an option.,module,Magento_ConfigurableProduct
The configurable product does not have any variation attribute.,The configurable product does not have any variation attribute.,module,Magento_ConfigurableProduct
"Product with id ""%1"" does not exist.","Product with id ""%1"" does not exist.",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not contain required attribute ""%2"".","Product with id ""%1"" does not contain required attribute ""%2"".",module,Magento_ConfigurableProduct
"Products ""%1"" and %2 have the same set of attribute values.","Products ""%1"" and %2 have the same set of attribute values.",module,Magento_ConfigurableProduct
You can't add the item to shopping cart.,You can't add the item to shopping cart.,module,Magento_ConfigurableProduct
